Date,Open,High,Low,Close,Adj Close,Volume
"Nov 15, 2023",56.84,66.87,56.31,65.53,65.53,"3,793,937,162"
"Nov 14, 2023",51.90,57.73,51.71,56.84,56.84,"3,195,616,616"
"Nov 13, 2023",56.18,59.71,51.91,51.91,51.91,"2,942,685,126"
"Nov 12, 2023",56.13,61.71,54.94,56.15,56.15,"2,987,356,952"
"Nov 11, 2023",56.64,63.42,54.04,56.10,56.10,"4,182,963,132"
"Nov 10, 2023",45.44,57.35,45.22,56.64,56.64,"3,795,204,638"
"Nov 9, 2023",43.18,48.70,42.61,45.44,45.44,"2,830,770,419"
"Nov 8, 2023",43.09,43.81,42.39,43.19,43.19,"1,009,177,437"
"Nov 7, 2023",42.14,44.43,40.32,43.09,43.09,"1,780,187,159"
"Nov 6, 2023",41.24,42.16,39.83,42.13,42.13,"1,010,459,088"
"Nov 5, 2023",42.37,42.80,40.38,41.24,41.24,"884,855,278"
"Nov 4, 2023",39.52,42.70,39.17,42.35,42.35,"1,454,107,898"
"Nov 3, 2023",40.21,40.23,38.22,39.52,39.52,"1,755,955,299"
"Nov 2, 2023",41.39,44.49,38.98,40.21,40.21,"2,583,692,673"
"Nov 1, 2023",38.51,46.25,37.96,41.46,41.46,"3,630,725,002"
"Oct 31, 2023",34.96,38.55,34.91,38.52,38.52,"1,577,034,191"
"Oct 30, 2023",32.82,35.17,32.39,34.96,34.96,"1,099,930,941"
"Oct 29, 2023",31.65,33.13,31.43,32.82,32.82,"507,672,244"
"Oct 28, 2023",31.74,32.48,31.51,31.65,31.65,"380,462,073"
"Oct 27, 2023",32.78,33.30,31.53,31.74,31.74,"870,812,666"
"Oct 26, 2023",32.46,33.22,30.80,32.78,32.78,"1,015,617,285"
"Oct 25, 2023",30.15,33.69,30.06,32.46,32.46,"1,458,706,203"
"Oct 24, 2023",31.85,32.36,29.70,30.15,30.15,"1,450,364,573"
"Oct 23, 2023",29.26,32.47,28.90,31.85,31.85,"1,581,590,969"
"Oct 22, 2023",29.38,29.97,28.21,29.04,29.04,"665,340,924"
"Oct 21, 2023",27.03,30.14,26.71,29.39,29.39,"1,160,814,433"
"Oct 20, 2023",24.94,27.32,24.77,27.03,27.03,"910,991,447"
"Oct 19, 2023",23.43,25.39,23.26,24.94,24.94,"663,249,208"
"Oct 18, 2023",23.96,24.30,23.42,23.43,23.43,"362,606,644"
"Oct 17, 2023",23.98,24.49,23.64,23.96,23.96,"520,830,665"
"Oct 16, 2023",21.92,24.41,21.92,23.98,23.98,"726,713,710"
"Oct 15, 2023",22.01,22.14,21.71,21.92,21.92,"178,940,996"
"Oct 14, 2023",21.83,22.20,21.82,22.01,22.01,"174,004,594"
"Oct 13, 2023",21.30,22.16,21.13,21.83,21.83,"269,268,807"
"Oct 12, 2023",22.01,22.02,21.07,21.30,21.30,"283,320,977"
"Oct 11, 2023",22.11,22.39,21.68,22.01,22.01,"278,925,381"
"Oct 10, 2023",22.12,22.46,21.74,22.11,22.11,"241,087,146"
"Oct 9, 2023",23.24,23.35,21.81,22.12,22.12,"356,967,743"
"Oct 8, 2023",23.29,23.61,23.14,23.25,23.25,"190,670,414"
"Oct 7, 2023",23.42,24.10,23.12,23.29,23.29,"278,403,509"
"Oct 6, 2023",22.69,23.71,22.69,23.42,23.42,"402,665,506"
"Oct 5, 2023",23.15,23.72,22.63,22.69,22.69,"361,288,781"
"Oct 4, 2023",23.56,23.75,22.69,23.14,23.14,"429,268,875"
"Oct 3, 2023",23.37,24.66,23.30,23.55,23.55,"653,491,878"
"Oct 2, 2023",23.84,24.60,22.98,23.37,23.37,"658,084,028"
"Oct 1, 2023",21.39,24.40,21.17,23.84,23.84,"637,123,111"
"Sep 30, 2023",20.30,21.73,20.12,21.40,21.40,"328,987,954"
"Sep 29, 2023",19.96,20.42,19.88,20.30,20.30,"219,571,069"
"Sep 28, 2023",19.13,19.96,19.11,19.96,19.96,"225,954,938"
"Sep 27, 2023",19.02,19.45,18.77,19.13,19.13,"210,385,139"
"Sep 26, 2023",19.40,19.51,18.94,19.02,19.02,"170,201,883"
"Sep 25, 2023",19.37,19.70,19.22,19.40,19.40,"163,848,456"
"Sep 24, 2023",19.47,19.66,19.31,19.37,19.37,"115,380,619"
"Sep 23, 2023",19.44,19.56,19.31,19.47,19.47,"97,379,053"
"Sep 22, 2023",19.48,19.77,19.22,19.44,19.44,"170,874,161"
"Sep 21, 2023",20.30,20.30,19.37,19.48,19.48,"253,809,695"
"Sep 20, 2023",20.04,20.48,19.85,20.30,20.30,"233,206,126"
"Sep 19, 2023",19.66,20.36,19.61,20.04,20.04,"253,895,801"
"Sep 18, 2023",18.83,20.10,18.65,19.66,19.66,"316,245,106"
"Sep 17, 2023",19.14,19.14,18.71,18.83,18.83,"112,594,680"
"Sep 16, 2023",19.17,19.42,18.92,19.14,19.14,"146,477,836"
"Sep 15, 2023",18.84,19.41,18.59,19.17,19.17,"205,202,282"
"Sep 14, 2023",18.40,19.27,18.40,18.84,18.84,"349,380,172"
"Sep 13, 2023",17.93,18.51,17.74,18.40,18.40,"356,729,875"
"Sep 12, 2023",17.74,18.66,17.61,17.93,17.93,"361,388,393"
"Sep 11, 2023",18.25,18.41,17.46,17.74,17.74,"380,225,621"
"Sep 10, 2023",19.45,19.45,17.87,18.25,18.25,"520,683,204"
"Sep 9, 2023",19.60,19.60,19.40,19.45,19.45,"101,925,453"
